"chr","window","Comp","meanFst"
"2L",5750,"5:11",0.04766811
"2L",6250,"5:11",0.0346312
"2L",6750,"5:11",0.0257449033333333
"2L",7250,"5:11",0.009626335
"2L",7750,"5:11",0.015342495
"2L",8250,"5:11",0.0415962
"2L",8750,"5:11",0.019194175
"2L",9250,"5:11",0.10808076
"2L",9750,"5:11",0.096900925
"2L",10250,"5:11",0.0954900233333333
"2L",11750,"5:11",0
"2L",12250,"5:11",0.0035967
"2L",12750,"5:11",0
"2L",13750,"5:11",0.0737824433333333
"2L",14250,"5:11",0
"2L",14750,"5:11",0
"2L",15250,"5:11",0
"2L",15750,"5:11",0.0452305833333333
"2L",18250,"5:11",0.00807372
"2L",18750,"5:11",0.018944595
"2L",19250,"5:11",0.0792462866666667
"2L",22250,"5:11",0.01266164
"2L",22750,"5:11",0.0319886
"2L",23250,"5:11",0
"2L",23750,"5:11",0
"2L",24250,"5:11",0.121363275
"2L",24750,"5:11",0.0438300766666667
"2L",25250,"5:11",0.05263158
"2L",25750,"5:11",0.097798505
"2L",26250,"5:11",0
"2L",27250,"5:11",0.10653748
"2L",27750,"5:11",0.0533506833333333
"2L",28250,"5:11",0.067225425
"2L",28750,"5:11",0.011127785
"2L",29250,"5:11",0.0457274433333333
"2L",29750,"5:11",0
"2L",30250,"5:11",0
"2L",30750,"5:11",0
"2L",31250,"5:11",0.020510825
"2L",31750,"5:11",0
"2L",32250,"5:11",0.064674645
"2L",32750,"5:11",0
"2L",33250,"5:11",0.0797935566666667
"2L",33750,"5:11",0.0289720666666667
"2L",34250,"5:11",0.0245049833333333
"2L",34750,"5:11",0.008018295
"2L",35250,"5:11",0.11110829
"2L",36250,"5:11",0.033677765
"2L",36750,"5:11",0.02238192
"2L",37250,"5:11",0
"2L",37750,"5:11",0.02310833
"2L",38250,"5:11",0
"2L",40250,"5:11",0.0429803366666667
"2L",40750,"5:11",0.0859278633333333
"2L",41250,"5:11",0.04163631
"2L",41750,"5:11",0.00913675
"2L",43250,"5:11",0.010603535
"2L",44250,"5:11",0.0220969366666667
"2L",45250,"5:11",0.0491879166666667
"2L",45750,"5:11",0.045507
"2L",46750,"5:11",0.02750656
"2L",53250,"5:11",0
"2L",53750,"5:11",0.01043956
"2L",55250,"5:11",0.0420991166666667
"2L",56250,"5:11",0.00558548
"2L",56750,"5:11",0.01174612
"2L",57250,"5:11",0.15495536
"2L",58250,"5:11",0.0393571
"2L",58750,"5:11",0.023835385
"2L",59750,"5:11",0.0287652
"2L",60250,"5:11",0
"2L",61250,"5:11",0.019984485
"2L",62250,"5:11",0.0114431166666667
"2L",62750,"5:11",0.15387668
"2L",63250,"5:11",0
"2L",63750,"5:11",0.0896792966666667
"2L",65250,"5:11",0.01365147
"2L",65750,"5:11",0
"2L",66250,"5:11",0.02902332
"2L",66750,"5:11",0.121579005
"2L",67250,"5:11",0.108382706666667
"2L",67750,"5:11",0.10882418
"2L",68250,"5:11",0.01472555
"2L",68750,"5:11",0
"2L",69250,"5:11",0
"2L",69750,"5:11",0
"2L",70250,"5:11",0
"2L",70750,"5:11",0.018986575
"2L",71250,"5:11",0.0414658933333333
"2L",72250,"5:11",0.08153124
"2L",72750,"5:11",0.050569285
"2L",73750,"5:11",0.05770324
"2L",74250,"5:11",0.0355209766666667
"2L",74750,"5:11",0.0169843133333333
"2L",75250,"5:11",0.0410751366666667
"2L",75750,"5:11",0
"2L",76250,"5:11",0.0218323166666667
"2L",76750,"5:11",0.029724945
"2L",77250,"5:11",0.087464495
"2L",77750,"5:11",0
"2L",79250,"5:11",0.00676259
"2L",81250,"5:11",0.0237693766666667
"2L",81750,"5:11",0.03624463
"2L",82750,"5:11",0.01149181
"2L",83750,"5:11",0
"2L",84250,"5:11",0.026373345
"2L",84750,"5:11",0.0645671
"2L",85250,"5:11",0
"2L",85750,"5:11",0.0496773566666667
"2L",86750,"5:11",0.0266186866666667
"2L",87250,"5:11",0.05922996
"2L",87750,"5:11",0.0850108733333333
"2L",89250,"5:11",0.031917495
"2L",90250,"5:11",0.0104669366666667
"2L",90750,"5:11",0.02098333
"2L",91250,"5:11",0.0450023
"2L",92250,"5:11",0.01672405
"2L",93250,"5:11",0
"2L",95250,"5:11",0.03508963
"2L",95750,"5:11",0
"2L",96250,"5:11",0.07142857
"2L",96750,"5:11",0
"2L",97250,"5:11",0
"2L",97750,"5:11",0.02465712
"2L",98250,"5:11",0.05847909
"2L",98750,"5:11",0.071984415
"2L",99250,"5:11",0.0251975566666667
"2L",99750,"5:11",0.10974086
"2L",100250,"5:11",0.0802442433333333
"2L",100750,"5:11",0.0712638533333333
"2L",101250,"5:11",0
"2L",101750,"5:11",0.02181559
"2L",102250,"5:11",0.10491999
"2L",102750,"5:11",0.03114557
"2L",103250,"5:11",0.0797279833333333
"2L",103750,"5:11",0.08516015
"2L",104250,"5:11",0.0699069533333333
"2L",104750,"5:11",0.01010401
"2L",105250,"5:11",0
"2L",105750,"5:11",0.01241797
"2L",106250,"5:11",0.122348275
"2L",106750,"5:11",0.06093215
"2L",107750,"5:11",0.029949695
"2L",108250,"5:11",0.04504815
"2L",108750,"5:11",0.08326967
"2L",109250,"5:11",0.0499613166666667
"2L",109750,"5:11",0.113676896666667
"2L",110250,"5:11",0.00668605
"2L",110750,"5:11",0.06020932
"2L",111250,"5:11",0.0167636333333333
"2L",111750,"5:11",0
"2L",112750,"5:11",0.015000725
"2L",113750,"5:11",0
"2L",114250,"5:11",0.0180537733333333
"2L",114750,"5:11",0.02094362
"2L",115750,"5:11",0.10853608
"2L",116250,"5:11",0.122245976666667
"2L",117250,"5:11",0.0289070233333333
"2L",117750,"5:11",0.00769138
"2L",118250,"5:11",0
"2L",118750,"5:11",0.029064525
"2L",119250,"5:11",0
"2L",119750,"5:11",0.0355208966666667
"2L",120250,"5:11",0.0545624
"2L",121250,"5:11",0.105997636666667
"2L",122250,"5:11",0.06931075
"2L",122750,"5:11",0.0620656166666667
"2L",123250,"5:11",0.05016571
"2L",123750,"5:11",0.0241846933333333
"2L",124250,"5:11",0
"2L",124750,"5:11",0.0083597
"2L",125750,"5:11",0.0949194666666667
"2L",126750,"5:11",0.03392546
"2L",127250,"5:11",0.05292486
"2L",127750,"5:11",0.0683101733333333
"2L",128750,"5:11",0.01275768
"2L",129250,"5:11",0.0270432933333333
"2L",129750,"5:11",0.00117504
"2L",130250,"5:11",0.0177757433333333
"2L",130750,"5:11",0.0351083733333333
"2L",131250,"5:11",0.04337919
"2L",131750,"5:11",0
"2L",132250,"5:11",0.0208182266666667
"2L",132750,"5:11",0.030078055
"2L",133250,"5:11",0
"2L",133750,"5:11",0
"2L",134250,"5:11",0
"2L",135250,"5:11",0.0294199333333333
"2L",135750,"5:11",0.0305405433333333
"2L",137750,"5:11",0.0165643033333333
"2L",139250,"5:11",0.02709039
"2L",139750,"5:11",0.0652864866666667
"2L",140250,"5:11",0
"2L",140750,"5:11",0.01090909
"2L",141250,"5:11",0
"2L",141750,"5:11",0.02573771
"2L",142250,"5:11",0
"2L",142750,"5:11",0.032540155
"2L",143250,"5:11",0
"2L",143750,"5:11",0.03020114
"2L",144250,"5:11",0.01555644
"2L",144750,"5:11",0
"2L",145250,"5:11",0.00990099
"2L",145750,"5:11",0.04484251
"2L",146750,"5:11",0.080039095
"2L",147750,"5:11",0.0146901566666667
"2L",148250,"5:11",0.022704065
"2L",148750,"5:11",0
"2L",149250,"5:11",0.03476644
"2L",149750,"5:11",0.0108872333333333
"2L",150750,"5:11",0.02290652
"2L",151250,"5:11",0.005832065
"2L",151750,"5:11",0.025258455
"2L",152250,"5:11",0
"2L",152750,"5:11",0.049917055
"2L",153250,"5:11",0.0552084133333333
"2L",153750,"5:11",0.035924795
"2L",154250,"5:11",0.0625229666666667
"2L",154750,"5:11",0.011112485
"2L",155250,"5:11",0
"2L",155750,"5:11",0.01315627
"2L",156250,"5:11",0.0219016266666667
"2L",156750,"5:11",0.00360254
"2L",157250,"5:11",0
"2L",157750,"5:11",0.01093227
"2L",158250,"5:11",0
"2L",158750,"5:11",0.0105533633333333
"2L",159750,"5:11",0.0351886066666667
"2L",160250,"5:11",0.0263440233333333
"2L",161250,"5:11",0.03390392
"2L",161750,"5:11",0.0238393833333333
"2L",163250,"5:11",0.01214518
"2L",163750,"5:11",0.0226675033333333
"2L",164250,"5:11",0
"2L",165250,"5:11",0.0179538533333333
"2L",166250,"5:11",0.06271703
"2L",166750,"5:11",0.05816452
"2L",167250,"5:11",0.00941691333333333
"2L",167750,"5:11",0
"2L",168250,"5:11",0.0176814166666667
"2L",169250,"5:11",0
"2L",173250,"5:11",0.0372984066666667
"2L",174250,"5:11",0.01193528
"2L",175750,"5:11",0
"2L",176750,"5:11",0.0277130266666667
"2L",177250,"5:11",0.009052005
"2L",178250,"5:11",0.03810852
"2L",178750,"5:11",0.00622579666666667
"2L",179250,"5:11",0
"2L",179750,"5:11",0.00571207
"2L",180750,"5:11",0
"2L",184250,"5:11",0
"2L",184750,"5:11",0.009203435
"2L",185250,"5:11",0.0611703333333333
"2L",185750,"5:11",0
"2L",186250,"5:11",0.0183335166666667
"2L",186750,"5:11",0
"2L",187750,"5:11",0.11907467
"2L",188250,"5:11",0
"2L",188750,"5:11",0
"2L",189250,"5:11",0
"2L",189750,"5:11",0.02741581
