"chr","window","Comp","meanFst"
"2L",5750,"1:3",0.00777156333333333
"2L",6250,"1:3",0.00971833333333333
"2L",6750,"1:3",0.107109156666667
"2L",7250,"1:3",0.049489305
"2L",7750,"1:3",0.04248675
"2L",8250,"1:3",0.00849933666666667
"2L",8750,"1:3",0.00730112
"2L",9250,"1:3",0.00534421
"2L",9750,"1:3",0.06362266
"2L",10250,"1:3",0.00704065333333333
"2L",11750,"1:3",0
"2L",12250,"1:3",0.0051545
"2L",12750,"1:3",0
"2L",13750,"1:3",0.00462832
"2L",14250,"1:3",0
"2L",14750,"1:3",0
"2L",15250,"1:3",0
"2L",15750,"1:3",0.0440957333333333
"2L",18250,"1:3",0.00700058
"2L",18750,"1:3",0.019335145
"2L",19250,"1:3",0.00719838
"2L",22250,"1:3",0.0020747
"2L",22750,"1:3",0
"2L",23250,"1:3",0
"2L",23750,"1:3",0
"2L",24250,"1:3",0.00322987
"2L",24750,"1:3",0.00538183
"2L",25250,"1:3",0.02275157
"2L",25750,"1:3",0.02592462
"2L",26250,"1:3",0
"2L",27250,"1:3",0.02205717
"2L",27750,"1:3",0.0664374866666667
"2L",28250,"1:3",0.00309978
"2L",28750,"1:3",0.0057411
"2L",29250,"1:3",0
"2L",29750,"1:3",0
"2L",30250,"1:3",0
"2L",30750,"1:3",0
"2L",31250,"1:3",0.00985162
"2L",31750,"1:3",0
"2L",32250,"1:3",0.01322778
"2L",32750,"1:3",0
"2L",33250,"1:3",0.0152355266666667
"2L",33750,"1:3",0
"2L",34250,"1:3",0.00801924666666667
"2L",34750,"1:3",0.03477849
"2L",35250,"1:3",0.01175379
"2L",36250,"1:3",0.00326747
"2L",36750,"1:3",0.038168805
"2L",37250,"1:3",0
"2L",37750,"1:3",0.00750269
"2L",38250,"1:3",0
"2L",40250,"1:3",0
"2L",40750,"1:3",0.00375810333333333
"2L",41250,"1:3",0.00965155
"2L",41750,"1:3",0.0247114
"2L",43250,"1:3",0.01404811
"2L",44250,"1:3",0
"2L",45250,"1:3",0.06467725
"2L",45750,"1:3",0.01598995
"2L",46750,"1:3",0.01687419
"2L",53250,"1:3",0
"2L",53750,"1:3",0
"2L",55250,"1:3",0.04026987
"2L",56250,"1:3",0.001662305
"2L",56750,"1:3",0.00868962333333333
"2L",57250,"1:3",0.007470515
"2L",58250,"1:3",0.00578227666666667
"2L",58750,"1:3",0.002857425
"2L",59750,"1:3",0.007081405
"2L",60250,"1:3",0
"2L",61250,"1:3",0.03628549
"2L",62250,"1:3",0.00338294666666667
"2L",62750,"1:3",0.00428873
"2L",63250,"1:3",0
"2L",63750,"1:3",0.0173321066666667
"2L",65250,"1:3",0.0172482133333333
"2L",65750,"1:3",0
"2L",66250,"1:3",0.00366224333333333
"2L",66750,"1:3",0.05494505
"2L",67250,"1:3",0.0115233933333333
"2L",67750,"1:3",0.02827242
"2L",68250,"1:3",0.03349673
"2L",68750,"1:3",0.0128995366666667
"2L",69250,"1:3",0
"2L",69750,"1:3",0
"2L",70250,"1:3",0
"2L",70750,"1:3",0.00436765
"2L",71250,"1:3",0.00524581
"2L",72250,"1:3",0.14909619
"2L",72750,"1:3",0.00033825
"2L",73750,"1:3",0.0144360633333333
"2L",74250,"1:3",0.00785432666666667
"2L",74750,"1:3",0
"2L",75250,"1:3",0
"2L",75750,"1:3",0
"2L",76250,"1:3",0.01061592
"2L",76750,"1:3",0
"2L",77250,"1:3",0.07731655
"2L",77750,"1:3",0
"2L",79250,"1:3",0.0430187566666667
"2L",81250,"1:3",0
"2L",81750,"1:3",0.0276275566666667
"2L",82750,"1:3",0.0681779933333333
"2L",83750,"1:3",0
"2L",84250,"1:3",0.017883745
"2L",84750,"1:3",0.04992821
"2L",85250,"1:3",0
"2L",85750,"1:3",0.0184963233333333
"2L",86750,"1:3",0
"2L",87250,"1:3",0.0458036866666667
"2L",87750,"1:3",0.0177604066666667
"2L",89250,"1:3",0.002565595
"2L",90250,"1:3",0.11207854
"2L",90750,"1:3",0.01531671
"2L",91250,"1:3",0.0145546133333333
"2L",92250,"1:3",0.01838943
"2L",93250,"1:3",0
"2L",95250,"1:3",0.0580494233333333
"2L",95750,"1:3",0
"2L",96250,"1:3",0.03773585
"2L",96750,"1:3",0
"2L",97250,"1:3",0
"2L",97750,"1:3",0.0233093666666667
"2L",98250,"1:3",0.08368435
"2L",98750,"1:3",0.064146
