"chr","window","Comp","meanFst"
"2L",5750,"6:7",0.08804435
"2L",6250,"6:7",0.0882456166666667
"2L",6750,"6:7",0.03525874
"2L",7250,"6:7",0.04734936
"2L",7750,"6:7",0.096831135
"2L",8250,"6:7",0.0416969
"2L",8750,"6:7",0.08876962
"2L",9250,"6:7",0.22161172
"2L",9750,"6:7",0.030022825
"2L",10250,"6:7",0.0915832666666667
"2L",11750,"6:7",0.01336027
"2L",12250,"6:7",0.02832184
"2L",12750,"6:7",0
"2L",13750,"6:7",0.206248736666667
"2L",14250,"6:7",0.02679576
"2L",14750,"6:7",0
"2L",15250,"6:7",0
"2L",15750,"6:7",0.06648523
"2L",18250,"6:7",0.04688882
"2L",18750,"6:7",0.024574765
"2L",19250,"6:7",0.08202458
"2L",22250,"6:7",0.0383812966666667
"2L",22750,"6:7",0
"2L",23250,"6:7",0
"2L",23750,"6:7",0
"2L",24250,"6:7",0.175312005
"2L",24750,"6:7",0.0731590766666667
"2L",25250,"6:7",0.07371569
"2L",25750,"6:7",0.01207445
"2L",26250,"6:7",0.0130528366666667
"2L",27250,"6:7",0.176352005
"2L",27750,"6:7",0.06313939
"2L",28250,"6:7",0.012063285
"2L",28750,"6:7",0.10012397
"2L",29250,"6:7",0.0303425933333333
"2L",29750,"6:7",0
"2L",30250,"6:7",0
"2L",30750,"6:7",0
"2L",31250,"6:7",0.08287783
"2L",31750,"6:7",0
"2L",32250,"6:7",0.122880035
"2L",32750,"6:7",0
"2L",33250,"6:7",0.118936373333333
"2L",33750,"6:7",0
"2L",34250,"6:7",0.0154411366666667
"2L",34750,"6:7",0.01120038
"2L",35250,"6:7",0.15146568
"2L",36250,"6:7",0.073836405
"2L",36750,"6:7",0.14832714
"2L",37250,"6:7",0
"2L",37750,"6:7",0.00931873
"2L",38250,"6:7",0
"2L",40250,"6:7",0
"2L",40750,"6:7",0.0912345066666667
"2L",41250,"6:7",0.119915405
"2L",41750,"6:7",0.13193313
"2L",43250,"6:7",0.030017445
"2L",44250,"6:7",0
"2L",45250,"6:7",0.115689513333333
"2L",45750,"6:7",0.0496235633333333
"2L",46750,"6:7",0.05328549
"2L",53250,"6:7",0
"2L",53750,"6:7",0
"2L",55250,"6:7",0.0214032466666667
"2L",56250,"6:7",0.07994662
"2L",56750,"6:7",0.09779732
"2L",57250,"6:7",0.12020453
"2L",58250,"6:7",0.0368919066666667
