"position","chr","Effects","mean_p","max_p","number","adjustP","logAdjustP"
11949,"X","TreatmentSel:Generation",3.55124125643328e-10,9.43340958835089e-10,156,0.00300830677099743,2.52167787879909
12533,"X","TreatmentSel:Generation",2.05547067509133e-13,6.16573591911078e-13,168,1.96624825201569e-06,5.70636165045399
385855,"X","TreatmentSel:Generation",2.07027069882292e-09,6.13406940721637e-09,2361,0.0195614982670577,1.70859788450772
507427,"X","TreatmentSel:Generation",1.08520514711466e-09,2.61376320871024e-09,3453,0.00833526996247129,2.07908032969165
529528,"X","TreatmentSel:Generation",2.24980067857668e-10,6.31591765614286e-10,3560,0.00201414108780983,2.69591011098639
532293,"X","TreatmentSel:Generation",1.89064567276719e-15,5.17367447059104e-15,3577,1.64988064973191e-08,7.78254747096038
534370,"X","TreatmentSel:Generation",6.5148523775067e-13,1.95445353586095e-12,3588,6.23273669023228e-06,5.20532122003478
534436,"X","TreatmentSel:Generation",1.41345615120509e-13,4.24011378110882e-13,3589,1.35216889270458e-06,5.86896905943832
534586,"X","TreatmentSel:Generation",1.47231102276067e-14,2.97519858446222e-14,3591,9.48788448426134e-08,7.02283061151705
534829,"X","TreatmentSel:Generation",4.19963088789584e-10,1.2596301832183e-09,3596,0.00401695057724169,2.39610351159998
535071,"X","TreatmentSel:Generation",3.43563207102042e-12,1.03068825474443e-11,3598,3.28685659887395e-05,4.48321924318831
535852,"X","TreatmentSel:Generation",1.22884885877208e-12,3.61364014317265e-12,3600,1.15238695074564e-05,4.93840166817299
536512,"X","TreatmentSel:Generation",1.25769610580847e-12,3.3518517315949e-12,3601,1.06890283572423e-05,4.971061770775
537413,"X","TreatmentSel:Generation",1.68668143225677e-09,5.03881861567745e-09,3604,0.0160687522548465,1.79401784507072
537802,"X","TreatmentSel:Generation",2.05390027194905e-10,3.11790192677127e-10,3607,0.000994296430125817,3.00248411985254
539762,"X","TreatmentSel:Generation",2.63502483449983e-09,7.89847908875689e-09,3626,0.025188186626213,1.59880309755061
539807,"X","TreatmentSel:Generation",3.74590559655756e-12,1.0863640998798e-11,3627,3.46440642360388e-05,4.46037116481443
540601,"X","TreatmentSel:Generation",5.06440809239047e-11,1.1567511580033e-10,3631,0.000368887018886326,3.43310662730296
540606,"X","TreatmentSel:Generation",2.3590719233565e-10,6.4025565415174e-10,3632,0.00204177015904467,2.68999314779106
540916,"X","TreatmentSel:Generation",6.42629979434911e-11,1.69252123432922e-10,3644,0.000539743667610601,3.2678124442006
541615,"X","TreatmentSel:Generation",2.93638046318134e-09,7.52026802624279e-09,3650,0.023982074573544,1.62011325089222
542725,"X","TreatmentSel:Generation",1.14555160714978e-10,3.089207670122e-10,3663,0.00098514585463577,3.00649946577235
542726,"X","TreatmentSel:Generation",1.64927986935233e-10,4.51639157372942e-10,3664,0.00144027365974905,2.84155498177472
546240,"X","TreatmentSel:Generation",1.35031635499305e-12,3.85555301001249e-12,3686,1.22953277045058e-05,4.91025989162133
549322,"X","TreatmentSel:Generation",2.92708922932245e-13,7.8530682711784e-13,3709,2.50433718922417e-06,5.60130719720262
549323,"X","TreatmentSel:Generation",1.09427812214055e-13,2.81920430146121e-13,3710,8.99041996372539e-07,6.04622002087316
549373,"X","TreatmentSel:Generation",1.77602269787671e-12,3.60513627163248e-12,3711,1.14967507291458e-05,4.93942488484598
549693,"X","TreatmentSel:Generation",7.20395938044088e-10,2.13462109423112e-09,3713,0.00680728959253429,2.1670257734494
551122,"X","TreatmentSel:Generation",1.30905140164404e-22,3.81261274445121e-22,3720,1.2158391541153e-15,14.9151238749815
551809,"X","TreatmentSel:Generation",5.19419216224075e-18,1.4736856364892e-17,3722,4.69957170527897e-11,10.3279417196195
552176,"X","TreatmentSel:Generation",4.55696167499283e-10,7.28039292640049e-10,3725,0.00232171147991478,2.63419175120654
553004,"X","TreatmentSel:Generation",6.74522382912346e-10,1.6871860253151e-09,3730,0.00538042273724165,2.26918360068328
